ClassName, TotalOccurrences, AlwaysUsed
org.junit.runner.JUnitCore ,35,true
net.sf.freecol.common.util.Utils ,167971,true
junit.framework.TestCase ,456,true
net.sf.freecol.common.model.Effect ,535,true
net.sf.freecol.common.model.AbstractUnit ,4255,true
net.sf.freecol.common.option.StringOption ,4870,true
net.sf.freecol.common.model.GoodsTest ,20,false
org.junit.runner.notification.RunNotifier$1 ,10,true
net.sf.freecol.common.model.Feature ,72985,true
org.junit.internal.MethodSorter$2 ,438,true
net.sf.freecol.common.i18n.Number ,4,false
org.junit.runner.notification.SynchronizedRunListener ,64,true
net.sf.freecol.common.util.CollectionUtils ,163776,true
net.sf.freecol.common.model.UnitLocation$NoAddReason ,1,false
org.junit.internal.MethodSorter$1 ,1700,true
net.sf.freecol.common.model.TileImprovement ,304,true
net.sf.freecol.common.i18n.Messages ,1378,true
net.sf.freecol.server.model.ServerColony ,82,false
net.sf.freecol.common.util.RandomChoice ,385,true
net.sf.freecol.common.model.Map ,248713,true
net.sf.freecol.common.model.Specification$OptionReader ,35,true
net.sf.freecol.common.option.AbstractUnitOption ,7390,true
net.sf.freecol.common.model.Limit$Operator ,5,true
junit.framework.TestResult$1 ,27,true
org.junit.internal.runners.JUnit38ClassRunner$OldTestClassAdaptingListener ,216,true
net.sf.freecol.common.i18n.Relation ,324,false
junit.framework.Assert ,342,true
net.sf.freecol.common.model.ProductionInfo ,977,false
net.sf.freecol.common.model.Monarch ,152,true
net.sf.freecol.common.model.FreeColGameObject ,66431,true
org.junit.runners.Suite ,20,true
net.sf.freecol.common.model.pathfinding.CostDeciders ,6,true
net.sf.freecol.common.model.Settlement ,1549,true
net.sf.freecol.common.model.UnitType ,4703,true
org.junit.runner.notification.RunNotifier ,286,true
net.sf.freecol.common.option.ListOption ,2560,true
net.sf.freecol.common.model.TileItem ,8,true
net.sf.freecol.common.model.Limit ,135,true
net.sf.freecol.common.model.NationType$SettlementNumber ,5,true
net.sf.freecol.common.model.FoundingFather$FoundingFatherType ,5,true
net.sf.freecol.common.model.Europe ,313,true
org.junit.internal.builders.IgnoredBuilder ,5,true
org.junit.runner.Request$1 ,5,true
net.sf.freecol.common.i18n.PluralNumberRule ,2,false
net.sf.freecol.common.option.FileOption ,10,true
net.sf.freecol.common.model.Unit ,4019,true
net.sf.freecol.common.option.UnitTypeOption$TypeSelector ,10,true
org.junit.runner.notification.RunNotifier$SafeNotifier ,64,true
org.junit.runners.ParentRunner ,165,true
net.sf.freecol.common.model.SchoolTest$SchoolLevel ,1,false
org.junit.runner.notification.RunListener ,59,true
net.sf.freecol.common.i18n.Number$Category ,184,false
net.sf.freecol.common.util.CachingFunction ,256,false
junit.runner.Version ,5,true
net.sf.freecol.common.util.LogBuilder ,1054,true
net.sf.freecol.common.model.TileImprovementStyle ,86,true
net.sf.freecol.common.io.FreeColXMLReader ,187755,true
net.sf.freecol.common.model.UnitChangeType ,1507,true
net.sf.freecol.common.model.UnitTypeChange ,622,true
net.sf.freecol.common.model.HighSeas ,608,true
org.junit.runner.Result$Listener ,37,true
net.sf.freecol.common.model.Market ,7752,true
org.junit.internal.builders.AllDefaultPossibilitiesBuilder ,30,true
net.sf.freecol.common.model.BuildableType ,5454,true
net.sf.freecol.common.model.FreeColSpecObject ,25728,true
net.sf.freecol.common.model.FreeColSpecObjectType ,19911,true
net.sf.freecol.common.model.Colony ,1089,false
net.sf.freecol.common.model.Unit$MoveType ,9,true
net.sf.freecol.common.model.NationType ,626,true
org.junit.internal.builders.SuiteMethodBuilder ,10,true
net.sf.freecol.common.model.StringTemplate ,173,true
net.sf.freecol.common.model.ProductionType ,11843,true
net.sf.freecol.common.option.OptionGroup ,18512,true
net.sf.freecol.common.model.BaseCostDeciderTest ,18,true
net.sf.freecol.common.util.Introspector ,1310,true
