ClassName, TotalOccurrences
org.junit.runner.JUnitCore ,35,false
net.sf.freecol.common.util.Utils ,167971,false
junit.framework.TestCase ,456,false
net.sf.freecol.common.model.Effect ,535,false
net.sf.freecol.common.model.AbstractUnit ,4255,false
net.sf.freecol.common.option.StringOption ,4870,false
net.sf.freecol.common.model.GoodsTest ,20,false
org.junit.runner.notification.RunNotifier$1 ,10,false
net.sf.freecol.common.model.Feature ,72985,false
org.junit.internal.MethodSorter$2 ,438,false
net.sf.freecol.common.i18n.Number ,4,false
org.junit.runner.notification.SynchronizedRunListener ,64,false
net.sf.freecol.common.util.CollectionUtils ,163776,false
net.sf.freecol.common.model.UnitLocation$NoAddReason ,1,false
org.junit.internal.MethodSorter$1 ,1700,false
net.sf.freecol.common.model.TileImprovement ,304,false
net.sf.freecol.common.i18n.Messages ,1378,false
net.sf.freecol.server.model.ServerColony ,82,false
net.sf.freecol.common.util.RandomChoice ,385,false
net.sf.freecol.common.model.Map ,248713,false
net.sf.freecol.common.model.Specification$OptionReader ,35,false
net.sf.freecol.common.option.AbstractUnitOption ,7390,false
net.sf.freecol.common.model.Limit$Operator ,5,false
junit.framework.TestResult$1 ,27,false
org.junit.internal.runners.JUnit38ClassRunner$OldTestClassAdaptingListener ,216,false
net.sf.freecol.common.i18n.Relation ,324,false
junit.framework.Assert ,342,false
net.sf.freecol.common.model.ProductionInfo ,977,false
net.sf.freecol.common.model.Monarch ,152,false
net.sf.freecol.common.model.FreeColGameObject ,66431,false
org.junit.runners.Suite ,20,false
net.sf.freecol.common.model.pathfinding.CostDeciders ,6,false
net.sf.freecol.common.model.Settlement ,1549,false
net.sf.freecol.common.model.UnitType ,4703,false
org.junit.runner.notification.RunNotifier ,286,false
net.sf.freecol.common.option.ListOption ,2560,false
net.sf.freecol.common.model.TileItem ,8,false
net.sf.freecol.common.model.Limit ,135,false
net.sf.freecol.common.model.NationType$SettlementNumber ,5,false
net.sf.freecol.common.model.FoundingFather$FoundingFatherType ,5,false
net.sf.freecol.common.model.Europe ,313,false
org.junit.internal.builders.IgnoredBuilder ,5,false
org.junit.runner.Request$1 ,5,false
net.sf.freecol.common.i18n.PluralNumberRule ,2,false
net.sf.freecol.common.option.FileOption ,10,false
net.sf.freecol.common.model.Unit ,4019,false
net.sf.freecol.common.option.UnitTypeOption$TypeSelector ,10,false
org.junit.runner.notification.RunNotifier$SafeNotifier ,64,false
org.junit.runners.ParentRunner ,165,false
net.sf.freecol.common.model.SchoolTest$SchoolLevel ,1,false
org.junit.runner.notification.RunListener ,59,false
net.sf.freecol.common.i18n.Number$Category ,184,false
net.sf.freecol.common.util.CachingFunction ,256,false
junit.runner.Version ,5,false
net.sf.freecol.common.util.LogBuilder ,1054,false
net.sf.freecol.common.model.TileImprovementStyle ,86,false
net.sf.freecol.common.io.FreeColXMLReader ,187755,false
net.sf.freecol.common.model.UnitChangeType ,1507,false
net.sf.freecol.common.model.UnitTypeChange ,622,false
net.sf.freecol.common.model.HighSeas ,608,false
org.junit.runner.Result$Listener ,37,false
net.sf.freecol.common.model.Market ,7752,false
org.junit.internal.builders.AllDefaultPossibilitiesBuilder ,30,false
net.sf.freecol.common.model.BuildableType ,5454,false
net.sf.freecol.common.model.FreeColSpecObject ,25728,false
net.sf.freecol.common.model.FreeColSpecObjectType ,19911,false
net.sf.freecol.common.model.Colony ,1089,false
net.sf.freecol.common.model.Unit$MoveType ,9,false
net.sf.freecol.common.model.NationType ,626,false
org.junit.internal.builders.SuiteMethodBuilder ,10,false
net.sf.freecol.common.model.StringTemplate ,173,false
net.sf.freecol.common.model.ProductionType ,11843,false
net.sf.freecol.common.option.OptionGroup ,18512,false
net.sf.freecol.common.model.BaseCostDeciderTest ,18,false
net.sf.freecol.common.util.Introspector ,1310,false
